table_name,column_name,data_type
sell,date_mutation,datetime64[ns]
sell,nature_mutation,object
sell,valeur_fonciere,float64
features,section,object
features,no_plan,int64
features,1er_lot,object
features,surface_carrez_du_1er_lot,float64
features,nombre_de_lots,int64
features,code_type_local,int64
features,type_local,object
features,surface_reelle_bati,int64
features,nombre_pieces_principales,int64
street,no_voie,float64
street,code_type_de_voie,int64
street,type_de_voie,object
street,code_voie,object
street,voie,object
commune,code_id_commune,int64
commune,code_postal,float64
commune,commune,object
commune,code_departement,object
commune,code_commune,int64
